,name,type,coords,freq
353,GUNPA,FIX,N61.00.00.00 E000.00.00.00,000.000
354,GUNSO,FIX,N49.03.10.00 W011.46.06.00,000.000
355,GUNTU,FIX,N53.35.37.40 W003.09.53.64,000.000
356,GUSSI,FIX,N57.12.46.93 W004.07.26.86,000.000
357,HALIF,FIX,N53.44.06.31 W001.34.50.10,000.000
358,HANKY,FIX,N51.06.45.98 W001.07.51.00,000.000
359,HARDY,FIX,N50.28.15.75 E000.29.28.04,000.000
360,HASTY,FIX,N50.43.42.46 E000.32.00.37,000.000
361,HAVEN,FIX,N55.27.40.00 W002.59.46.67,000.000
362,HAWKE,FIX,N50.22.26.57 E000.05.24.77,000.000
363,HAZEL,FIX,N51.00.19.03 W000.59.04.06,000.000
364,HEMEL,FIX,N51.48.20.00 W000.25.09.78,000.000
365,HERON,FIX,N55.20.35.29 W005.00.00.00,000.000
366,HICAP,FIX,N51.05.15.76 W003.50.24.28,000.000
367,HILLY,FIX,N51.20.06.04 E000.14.37.38,000.000
368,HOFIK,FIX,N51.26.04.63 W002.00.00.00,000.000
369,HOLLY,FIX,N50.53.12.18 W000.05.42.23,000.000
370,HOTBE,FIX,N50.47.49.32 W003.54.19.44,000.000
371,IBGON,FIX,N51.00.47.24 W000.47.58.48,000.000
372,IBNID,FIX,N50.31.43.71 W001.47.08.46,000.000
373,IBOLU,FIX,N56.23.10.00 W003.08.03.00,000.000
374,IBRAR,FIX,N53.31.54.28 W003.41.10.87,000.000
375,IBROD,FIX,N56.30.00.00 W010.00.00.00,000.000
376,IBTES,FIX,N54.26.25.20 W005.03.15.12,000.000
377,IDESI,FIX,N51.53.51.74 E001.53.08.08,000.000
378,IDEXA,FIX,N53.28.14.00 W005.09.51.00,000.000
379,IDGAS,FIX,N54.14.22.81 W004.33.29.47,000.000
380,IDITU,FIX,N51.32.24.79 E000.58.37.35,000.000
381,IDKOL,FIX,N54.05.43.00 W001.59.45.00,000.000
382,IDOKI,FIX,N49.51.37.00 W006.11.39.16,000.000
383,IDOVO,FIX,N52.13.26.04 W003.33.04.21,000.000
384,ILZAP,FIX,N51.35.43.38 W005.11.35.39,000.000
385,IMVUR,FIX,N51.10.28.90 W000.31.56.40,000.000
386,INBAS,FIX,N56.42.00.00 W004.14.59.11,000.000
387,INBOB,FIX,N55.36.24.86 E005.00.00.00,000.000
388,INDOX,FIX,N51.18.39.55 W001.01.14.04,000.000
389,INGUR,FIX,N51.42.41.67 W002.51.36.75,000.000
390,INKEK,FIX,N50.38.53.00 W000.32.09.00,000.000
391,INKOB,FIX,N53.52.16.19 W004.24.14.43,000.000
392,INLAK,FIX,N51.28.40.64 W001.31.27.19,000.000
